"",CONF ADDRESS NAME,DEM,REP,GRN,LIB,WCP,BAR,UNAF,OTH,TOTAL,DEM,REP,GRN,LIB,WCP,BAR,UNAF,OTH,TOTAL,INACTIVEMAILING,
ALLEGANY,569 295,106,54,3,2,1,0,74,18,258,12844,22530,73,197,13,19,7724,391,"43,791",0,2841
ANNE ARUNDEL,7636 14212,"1,286","1,122",32,61,3,5,"1,891",263,"4,663",174478,135564,546,1797,165,105,90602,2734,"405,991",2,26300
BALTIMORE CITY,17567 16437,"1,695",565,33,55,9,5,"1,453",232,"4,047",309855,29760,757,876,199,114,51670,3241,"396,472",0,21866
BALTIMORE CO.,10055 22115,"1,888","1,069",30,92,9,5,"2,116",581,"5,790",313060,142352,869,2129,224,137,100948,5902,"565,621",0,33917
CALVERT,827 1446,160,128,5,10,0,1,247,47,598,24554,28140,79,315,24,20,14269,576,"67,977",0,4067
CAROLINE,233 258,54,43,0,4,1,0,50,9,161,6625,10015,33,86,13,2,4244,164,"21,182",0,987
CARROLL,1516 2831,270,296,5,24,1,1,398,84,"1,079",33730,64349,149,632,27,29,26136,1082,"126,134",0,6753
CECIL,835 1571,223,137,5,9,1,0,277,34,686,21627,30794,98,312,43,7,15238,732,"68,851",0,6326
CHARLES,1854 3459,419,160,2,14,2,0,399,42,"1,038",72644,24690,110,331,68,21,19960,766,"118,590",0,8488
DORCHESTER,323 357,43,26,1,5,0,0,50,11,136,9806,8723,19,71,12,4,3360,147,"22,142",0,1064
FREDERICK,3643 5377,538,494,10,36,3,3,853,74,"2,011",72355,69012,261,891,58,56,43375,785,"186,793",0,11546
GARRETT,221 192,40,23,2,1,0,0,37,6,109,4014,13376,21,80,10,5,2612,155,"20,273",0,1200
HARFORD,2654 3418,484,384,9,33,2,2,610,105,"1,629",66365,80275,215,907,54,50,38285,1540,"187,691",0,10635
HOWARD,4721 6694,991,720,11,37,2,1,"1,513",289,"3,564",119270,53017,300,762,47,50,52435,2079,"227,960",0,11973
KENT,191 234,34,17,0,0,0,0,36,5,92,5993,4982,18,48,9,2,2291,117,"13,460",0,796
MONTGOMERY,14644 41049,"3,586","2,174",63,147,9,9,"5,458",953,"12,399",410540,105840,984,1909,172,165,148284,5959,"673,853",0,76101
PR. GEORGE'S,11739 28502,"2,099",599,28,59,9,9,"2,239",806,"5,848",472523,39582,649,1068,202,139,76989,11396,"602,548",0,34368
QUEEN ANNE'S,524 777,87,61,1,8,0,1,109,19,286,11086,18987,39,181,7,4,7213,285,"37,802",0,1752
ST. MARY'S,1217 1514,204,174,2,19,2,0,242,37,680,26366,30567,93,354,29,19,15677,605,"73,710",0,7350
SOMERSET,207 144,48,18,0,0,0,0,17,7,90,5683,5705,18,45,7,4,2060,93,"13,615",0,518
TALBOT,481 712,57,59,1,1,1,0,63,29,211,10729,11708,27,118,10,4,5187,254,"28,037",0,1340
WASHINGTON,1390 1938,295,164,4,13,1,2,280,57,816,32796,44155,119,485,38,25,20687,901,"99,206",0,9177
WICOMICO,1166 1291,131,112,1,5,1,0,206,35,491,27107,23659,87,299,31,14,12343,644,"64,184",0,3876
WORCESTER,871 750,104,67,0,6,0,0,119,22,318,14049,18249,49,166,7,8,7612,433,"40,573",0,2666
TOTAL,"85,084 155,573","14,842","8,666",248,641,57,44,"18,737","3,765","47,000","2,258,099","1,016,031","5,613","14,059","1,469","1,003","769,201","40,981","4,106,456",2,"285,907"
